Width,Height
1920,869
1123,90,1736277967557
1122,87,1736277967567
1122,79,1736277967576
1133,48,1736277967588
1142,37,1736277967598
1170,14,1736277967608
1180,10,1736277967618
1183,7,1736277967628
1189,6,1736277967638
1191,6,1736277967648
1193,6,1736277967657
1195,9,1736277967667
1196,13,1736277967677
1198,27,1736277967686
1195,34,1736277967697
1190,41,1736277967706
1186,44,1736277967715
1173,49,1736277967725
1168,51,1736277967735
1158,52,1736277967744
1151,52,1736277967754
1138,51,1736277967763
1135,48,1736277967774
1135,45,1736277967783
1135,42,1736277967792
1136,38,1736277967805
1149,27,1736277967814
1166,17,1736277967824
1190,12,1736277967834
1200,11,1736277967844
1207,11,1736277967853
1210,11,1736277967863
1211,12,1736277967873
1212,18,1736277967883
1210,25,1736277967893
1207,31,1736277967902
1190,46,1736277967912
1185,49,1736277967921
1180,51,1736277967931
1177,53,1736277967942
1165,53,1736277967960
1154,49,1736277967978
1150,44,1736277967992
1149,37,1736277968002
1149,29,1736277968011
1150,24,1736277968020
1156,20,1736277968031
1158,19,1736277968040
1161,18,1736277968050
1166,19,1736277968060
1168,21,1736277968069
1170,26,1736277968078
1172,35,1736277968088
1172,49,1736277968097
1170,57,1736277968107
1158,72,1736277968117
1154,74,1736277968127
1150,75,1736277968136
1142,76,1736277968146
1138,76,1736277968155
1135,73,1736277968165
1132,70,1736277968174
1132,62,1736277968183
1134,53,1736277968193
1137,47,1736277968202
1145,41,1736277968213
1155,34,1736277968222
1163,31,1736277968231
1168,31,1736277968240
1171,31,1736277968250
1176,37,1736277968259
1178,44,1736277968269
1180,58,1736277968278
1180,64,1736277968287
1177,71,1736277968297
1175,73,1736277968307
1173,73,1736277968316
1163,75,1736277968326
1154,75,1736277968336
1143,72,1736277968346
1127,60,1736277968355
1120,54,1736277968365
1119,50,1736277968375
1115,43,1736277968384
1115,36,1736277968393
1119,26,1736277968403
1126,23,1736277968412
1131,21,1736277968422
1140,21,1736277968431
1149,21,1736277968440
1166,25,1736277968450
1168,27,1736277968460
1170,32,1736277968469
1169,52,1736277968479
1163,64,1736277968488
1155,74,1736277968498
1147,81,1736277968508
1138,86,1736277968517
1129,87,1736277968527
1121,89,1736277968537
1118,89,1736277968546
1117,89,1736277968557
1115,81,1736277968566
1116,72,1736277968576
1119,67,1736277968587
1128,56,1736277968597
1135,51,1736277968606
1140,49,1736277968617
1171,44,1736277968626
1180,44,1736277968636
1188,46,1736277968645
1189,46,1736277968655
1190,49,1736277968665
1190,52,1736277968674
1187,57,1736277968683
1185,60,1736277968693
1181,61,1736277968702
1176,62,1736277968712
1173,62,1736277968722
1171,62,1736277968731
1169,62,1736277968740
1169,60,1736277968762
1171,56,1736277968772
1185,41,1736277968782
1190,37,1736277968791
1196,34,1736277968800
1203,33,1736277968809
1204,33,1736277968818
1207,35,1736277968828
1208,39,1736277968837
1208,49,1736277968846
1206,59,1736277968856
1199,77,1736277968865
1192,90,1736277968874
1188,94,1736277968884
1184,97,1736277968893
1183,97,1736277968903
1182,95,1736277968914
1182,90,1736277968923
1181,84,1736277968932
1181,68,1736277968943
1181,51,1736277968952
1184,37,1736277968962
1188,29,1736277968972
1190,27,1736277968981
1193,26,1736277968991
1199,26,1736277969000
1210,26,1736277969008
1222,31,1736277969018
1232,39,1736277969028
1233,41,1736277969037
1234,44,1736277969047
1234,47,1736277969056
1233,49,1736277969066
1232,50,1736277969075
1230,53,1736277969084
1226,55,1736277969094
1225,55,1736277969103
1223,55,1736277969113
1222,55,1736277969123
1221,55,1736277969135
1220,55,1736277969146
1219,55,1736277969155
1216,55,1736277969165
1214,54,1736277969175
1210,54,1736277969185
1205,53,1736277969196
1202,52,1736277969205
1202,51,1736277969214
1201,49,1736277969224
1201,48,1736277969235
1202,46,1736277969245
1209,44,1736277969255
1214,44,1736277969264
1216,45,1736277969273
1220,46,1736277969283
1223,49,1736277969293
1225,54,1736277969302
1225,61,1736277969312
1225,68,1736277969322
1225,75,1736277969332
1225,78,1736277969341
1224,78,1736277969350
1222,78,1736277969360
1220,78,1736277969369
1218,77,1736277969378
1211,69,1736277969390
1207,63,1736277969399
1204,61,1736277969408
1199,55,1736277969418
1198,54,1736277969427
1196,52,1736277969437
1194,50,1736277969447
1192,49,1736277969456
1193,49,1736277969477
1196,51,1736277969487
1201,55,1736277969496
1202,58,1736277969506
1205,62,1736277969515
1209,67,1736277969525
1214,76,1736277969535
1218,82,1736277969544
1219,86,1736277969554
1220,91,1736277969564
1221,104,1736277969573
1221,114,1736277969583
1221,125,1736277969593
1221,135,1736277969603
1222,142,1736277969612
1223,144,1736277969621
1224,146,1736277969631
1225,147,1736277969640
1225,149,1736277969649
1226,152,1736277969659
1226,155,1736277969668
1227,160,1736277969677
1227,168,1736277969687
1227,175,1736277969696
1227,183,1736277969705
1229,196,1736277969714
1230,205,1736277969724
1233,213,1736277969733
1234,218,1736277969742
1238,229,1736277969751
1242,239,1736277969760
1245,250,1736277969769
1248,261,1736277969779
1254,286,1736277969788
1258,308,1736277969797
1264,333,1736277969807
1266,354,1736277969816
1267,368,1736277969825
1269,378,1736277969835
1272,402,1736277969844
1275,408,1736277969853
1279,416,1736277969863
1280,417,1736277969872
1281,419,1736277969881
1283,421,1736277969891
1284,422,1736277969900
1285,424,1736277969910
1285,425,1736277969919
1285,426,1736277969928
1286,425,1736277969963
1286,421,1736277969974
1287,412,1736277969985
1282,388,1736277970004
1266,358,1736277970022
1249,332,1736277970036
1231,306,1736277970047
1212,273,1736277970058
1204,255,1736277970068
1199,240,1736277970078
1197,234,1736277970087
1197,227,1736277970097
1197,212,1736277970107
1197,208,1736277970116
1197,205,1736277970126
1197,202,1736277970135
1197,197,1736277970144
1199,190,1736277970154
1200,187,1736277970163
1200,184,1736277970172
1201,180,1736277970182
1203,175,1736277970192
1205,168,1736277970201
1209,153,1736277970211
1210,146,1736277970221
1212,141,1736277970231
1213,137,1736277970241
1214,131,1736277970250
1214,127,1736277970260
1213,118,1736277970270
1212,110,1736277970281
1210,107,1736277970291
1209,102,1736277970300
1208,98,1736277970310
1207,94,1736277970320
1207,95,1736277970393
1207,99,1736277970406
1211,130,1736277970417
1213,148,1736277970427
1217,181,1736277970436
1221,207,1736277970447
1229,246,1736277970457
1234,266,1736277970467
1238,278,1736277970477
1241,287,1736277970486
1242,302,1736277970496
1242,308,1736277970507
1241,311,1736277970516
1239,314,1736277970525
1231,320,1736277970535
1225,321,1736277970546
1217,324,1736277970555
1212,325,1736277970565
1203,326,1736277970574
1201,326,1736277970583
1199,327,1736277970593
1199,325,1736277970622
1201,322,1736277970632
1203,320,1736277970641
1212,319,1736277970650
1218,319,1736277970660
1222,320,1736277970671
1238,327,1736277970680
1247,333,1736277970690
1254,342,1736277970699
1262,364,1736277970709
1264,384,1736277970720
1264,402,1736277970730
1264,411,1736277970739
1261,425,1736277970749
1260,428,1736277970758
1256,430,1736277970767
1253,430,1736277970777
1249,430,1736277970787
1244,429,1736277970797
1237,425,1736277970806
1228,418,1736277970815
1224,414,1736277970825
1221,408,1736277970834
1219,403,1736277970843
1219,396,1736277970853
1219,383,1736277970863
1221,371,1736277970872
1225,367,1736277970882
1228,363,1736277970891
1243,356,1736277970900
1250,355,1736277970909
1258,353,1736277970918
1272,353,1736277970928
1282,355,1736277970937
1287,356,1736277970946
1289,358,1736277970956
1291,362,1736277970965
1290,373,1736277970974
1284,380,1736277970984
1279,384,1736277970993
1277,386,1736277971002
1274,387,1736277971011
1269,387,1736277971020
1263,387,1736277971030
1248,387,1736277971039
1242,383,1736277971048
1231,377,1736277971058
1225,373,1736277971067
1222,368,1736277971076
1221,366,1736277971086
1221,364,1736277971095
1223,362,1736277971105
1232,355,1736277971114
1241,351,1736277971123
1251,349,1736277971133
1262,349,1736277971142
1282,349,1736277971151
1294,349,1736277971161
1317,353,1736277971170
1352,364,1736277971179
1366,371,1736277971189
1372,376,1736277971198
1376,379,1736277971208
1376,381,1736277971217
1375,382,1736277971226
1373,384,1736277971236
1364,389,1736277971245
1357,391,1736277971254
1343,393,1736277971264
1332,395,1736277971273
1323,395,1736277971282
1304,396,1736277971292
