Width,Height
1920,869
682,40,1736273589649
686,43,1736273589657
689,47,1736273589665
690,48,1736273589673
691,50,1736273589681
691,51,1736273589696
691,54,1736273589704
690,56,1736273589713
689,58,1736273589722
687,59,1736273589730
685,61,1736273589739
683,62,1736273589747
680,62,1736273589755
678,63,1736273589763
672,63,1736273589772
669,63,1736273589780
665,62,1736273589788
660,59,1736273589797
655,58,1736273589805
651,55,1736273589814
646,51,1736273589822
643,49,1736273589831
641,46,1736273589840
640,45,1736273589849
640,44,1736273589859
641,43,1736273589867
643,40,1736273589876
645,39,1736273589886
647,38,1736273589895
649,38,1736273589904
652,37,1736273589912
654,37,1736273589921
657,37,1736273589930
660,37,1736273589938
663,38,1736273589947
665,40,1736273589955
669,43,1736273589964
670,45,1736273589973
674,52,1736273589981
678,63,1736273589990
678,67,1736273590006
678,70,1736273590015
678,72,1736273590024
677,73,1736273590032
676,74,1736273590041
675,74,1736273590049
672,74,1736273590057
667,74,1736273590065
663,70,1736273590074
653,66,1736273590082
647,62,1736273590090
642,58,1736273590098
639,55,1736273590107
639,54,1736273590115
639,53,1736273590124
639,52,1736273590138
640,52,1736273590146
641,51,1736273590155
642,51,1736273590163
644,51,1736273590171
645,51,1736273590180
646,51,1736273590192
648,53,1736273590202
650,55,1736273590210
652,57,1736273590218
655,59,1736273590226
657,61,1736273590234
659,63,1736273590242
661,65,1736273590250
663,66,1736273590259
665,67,1736273590268
666,68,1736273590276
667,68,1736273590284
668,69,1736273590292
669,69,1736273590301
670,69,1736273590310
671,69,1736273590319
672,69,1736273590328
674,69,1736273590336
675,70,1736273590344
676,70,1736273590352
677,70,1736273590360
678,70,1736273590369
678,70,1736273591036
679,70,1736273591059
679,69,1736273591311
679,68,1736273591324
679,67,1736273591333
679,66,1736273591342
679,64,1736273591351
679,62,1736273591359
679,61,1736273591367
678,56,1736273591376
678,54,1736273591384
677,50,1736273591392
677,48,1736273591402
676,47,1736273591411
676,46,1736273591421
676,47,1736273591503
676,49,1736273591516
677,52,1736273591524
678,55,1736273591533
679,58,1736273591542
680,62,1736273591552
682,66,1736273591560
682,68,1736273591569
683,68,1736273591580
683,69,1736273591590
683,70,1736273591621
684,70,1736273591633
685,71,1736273591642
685,72,1736273591658
686,72,1736273591674
687,72,1736273591706
687,73,1736273591719
688,73,1736273591728
689,73,1736273591736
690,74,1736273591745
691,74,1736273591753
692,75,1736273591762
693,75,1736273591770
694,77,1736273591778
697,78,1736273591787
699,80,1736273591795
702,82,1736273591803
705,84,1736273591811
707,86,1736273591819
711,89,1736273591828
714,91,1736273591837
716,94,1736273591845
723,99,1736273591855
726,101,1736273591863
729,103,1736273591872
732,105,1736273591880
737,109,1736273591888
743,113,1736273591896
751,116,1736273591904
758,120,1736273591913
763,123,1736273591921
769,126,1736273591930
774,129,1736273591939
779,131,1736273591948
781,134,1736273591959
781,135,1736273591967
781,135,1736273591984
781,136,1736273591993
780,137,1736273592002
778,139,1736273592012
775,141,1736273592020
773,143,1736273592028
770,144,1736273592037
766,146,1736273592046
764,147,1736273592054
760,148,1736273592063
751,150,1736273592071
742,153,1736273592079
721,154,1736273592087
710,156,1736273592096
698,156,1736273592104
