Width,Height
1920,869
1417,380,1736277606098
1417,385,1736277606105
1417,391,1736277606114
1413,399,1736277606122
1407,406,1736277606132
1399,413,1736277606139
1391,416,1736277606150
1386,417,1736277606158
1377,418,1736277606165
1366,418,1736277606172
1351,415,1736277606179
1339,410,1736277606193
1334,407,1736277606200
1330,402,1736277606208
1328,400,1736277606214
1327,392,1736277606221
1329,385,1736277606229
1333,382,1736277606237
1339,378,1736277606245
1348,377,1736277606254
1367,377,1736277606266
1381,378,1736277606274
1400,384,1736277606281
1415,390,1736277606288
1429,399,1736277606295
1432,403,1736277606308
1433,406,1736277606316
1433,410,1736277606323
1432,414,1736277606331
1427,419,1736277606339
1418,425,1736277606346
1400,431,1736277606353
1384,434,1736277606361
1364,436,1736277606375
1344,438,1736277606383
1325,438,1736277606390
1306,436,1736277606398
1288,428,1736277606405
1285,424,1736277606413
1282,418,1736277606420
1282,413,1736277606428
1282,395,1736277606435
1286,378,1736277606442
1298,364,1736277606454
1310,359,1736277606462
1319,357,1736277606470
1331,357,1736277606477
1349,357,1736277606485
1361,359,1736277606492
1367,363,1736277606500
1369,366,1736277606509
1369,369,1736277606517
1369,377,1736277606525
1368,383,1736277606533
1365,390,1736277606545
1357,400,1736277606553
1349,407,1736277606560
1343,409,1736277606567
1331,414,1736277606581
1319,415,1736277606588
1310,415,1736277606595
1305,415,1736277606602
1301,414,1736277606609
1300,412,1736277606617
1300,409,1736277606624
1300,405,1736277606632
1304,402,1736277606640
1309,399,1736277606654
1317,397,1736277606661
1330,395,1736277606669
1341,395,1736277606677
1358,395,1736277606685
1373,399,1736277606692
1382,403,1736277606700
1385,406,1736277606707
1386,406,1736277606720
1386,408,1736277606728
1385,409,1736277606735
1382,411,1736277606742
1372,414,1736277606748
1364,415,1736277606755
1351,415,1736277606763
1332,415,1736277606773
1321,412,1736277606781
1308,407,1736277606789
1300,402,1736277606797
1296,398,1736277606805
1296,395,1736277606813
1296,391,1736277606821
1298,388,1736277606829
1303,384,1736277606837
1309,382,1736277606847
1315,381,1736277606855
1320,379,1736277606863
1326,379,1736277606871
1334,379,1736277606884
1339,381,1736277606892
1341,384,1736277606899
1342,386,1736277606906
1342,389,1736277606914
1342,393,1736277606926
1342,395,1736277606933
1340,398,1736277606940
1338,401,1736277606946
1337,402,1736277606953
1335,404,1736277606961
1333,404,1736277606969
1332,406,1736277606977
1331,406,1736277606985
1331,407,1736277606993
1331,408,1736277607006
1331,409,1736277607022
1331,409,1736277607043
1332,409,1736277607054
1333,409,1736277607061
1336,409,1736277607069
1337,408,1736277607077
1344,408,1736277607085
1351,407,1736277607091
1358,407,1736277607099
1366,406,1736277607107
1373,406,1736277607115
1381,406,1736277607123
1393,406,1736277607131
1400,407,1736277607139
1405,410,1736277607147
1418,416,1736277607153
1423,421,1736277607161
1428,426,1736277607169
1433,430,1736277607181
1438,444,1736277607189
1441,454,1736277607196
1441,456,1736277607203
1440,459,1736277607210
1437,461,1736277607217
1434,463,1736277607230
1428,464,1736277607237
1420,466,1736277607244
1410,466,1736277607251
1390,462,1736277607258
1378,459,1736277607266
1367,452,1736277607273
1350,440,1736277607280
1343,433,1736277607287
1333,420,1736277607296
1325,403,1736277607308
1322,388,1736277607316
1322,377,1736277607323
1322,372,1736277607331
1324,365,1736277607338
1330,361,1736277607345
1336,358,1736277607352
1347,354,1736277607359
1356,353,1736277607367
1368,351,1736277607374
1377,351,1736277607381
1391,354,1736277607389
1402,358,1736277607395
1406,364,1736277607403
1408,367,1736277607411
1409,373,1736277607419
1409,379,1736277607427
1402,393,1736277607435
1398,401,1736277607448
1388,411,1736277607455
1371,422,1736277607462
1351,428,1736277607470
1341,430,1736277607478
1327,430,1736277607485
1315,428,1736277607492
1306,426,1736277607499
1294,422,1736277607506
1285,417,1736277607513
1275,409,1736277607527
1269,401,1736277607535
1267,395,1736277607542
1267,387,1736277607549
1268,380,1736277607556
1277,373,1736277607563
1285,368,1736277607570
1296,366,1736277607577
1309,365,1736277607583
1322,365,1736277607591
1331,365,1736277607599
1348,366,1736277607607
1365,370,1736277607615
1384,380,1736277607623
1395,391,1736277607632
1401,402,1736277607639
1403,418,1736277607646
1403,424,1736277607654
1401,435,1736277607666
1393,445,1736277607674
1386,448,1736277607681
1381,449,1736277607689
1373,451,1736277607696
1363,451,1736277607702
1350,451,1736277607709
1341,448,1736277607717
1335,443,1736277607725
1331,438,1736277607733
1329,431,1736277607741
1329,424,1736277607747
1329,410,1736277607755
1334,398,1736277607769
1341,392,1736277607777
1348,387,1736277607784
1352,387,1736277607790
1361,386,1736277607797
1369,386,1736277607804
1379,386,1736277607811
1386,389,1736277607818
1391,393,1736277607825
1393,396,1736277607835
1394,398,1736277607842
1394,404,1736277607849
1394,412,1736277607860
1390,418,1736277607867
1385,422,1736277607874
1380,426,1736277607884
1368,431,1736277607891
1361,432,1736277607898
1347,432,1736277607905
1333,432,1736277607914
1323,429,1736277607921
1311,422,1736277607928
1303,416,1736277607939
1296,408,1736277607946
1291,397,1736277607953
1290,390,1736277607960
1290,382,1736277607967
1295,377,1736277607981
1300,374,1736277607989
1305,374,1736277607996
1312,373,1736277608003
1319,373,1736277608009
1334,375,1736277608016
1353,378,1736277608024
1365,386,1736277608032
1371,392,1736277608038
1373,404,1736277608045
1373,408,1736277608052
1372,420,1736277608066
1363,433,1736277608074
1358,442,1736277608081
1347,449,1736277608089
1335,453,1736277608096
1325,453,1736277608103
1315,453,1736277608111
1304,451,1736277608118
1301,450,1736277608124
1292,444,1736277608131
1288,438,1736277608144
1285,431,1736277608152
1285,424,1736277608159
1285,416,1736277608166
1285,401,1736277608173
1289,385,1736277608179
