Width,Height
1920,869
Mouse Movements
441,272,1736893509622
476,241,1736893509684
541,198,1736893509743
587,168,1736893509796
591,165,1736893509848
599,160,1736893509900
601,160,1736893509953
601,161,1736893510182
596,171,1736893510236
597,179,1736893510281
599,181,1736893510326
599,182,1736893510543
586,191,1736893510593
564,204,1736893510639
526,225,1736893510684
497,239,1736893510730
487,245,1736893510776
475,255,1736893510823
466,263,1736893510871
452,273,1736893510919
447,275,1736893510963
376,320,1736893511707
376,319,1736893511808
380,317,1736893511855
385,316,1736893511902
391,320,1736893511948
399,329,1736893511996
403,334,1736893512041
405,336,1736893512084
410,339,1736893512129
426,346,1736893512174
434,352,1736893512218
440,356,1736893512262
450,360,1736893512358
453,361,1736893512401
454,362,1736893512445
454,363,1736893512490
377,709,1736893514825
377,709,1736893514874
396,664,1736893514980
431,589,1736893515026
447,557,1736893515073
458,527,1736893515119
468,511,1736893515165
472,503,1736893515210
476,497,1736893515255
482,489,1736893515302
494,474,1736893515349
508,462,1736893515416
514,458,1736893515473
519,456,1736893515526
464,506,1736893516535
464,506,1736893516748
472,493,1736893516803
479,479,1736893516852
485,469,1736893516897
489,463,1736893516944
496,457,1736893516990
511,440,1736893517037
515,436,1736893517089
412,514,1736893517796
413,514,1736893518153
427,509,1736893518206
440,509,1736893518251
450,510,1736893518295
469,513,1736893518339
496,522,1736893518384
517,524,1736893518428
556,520,1736893518473
594,507,1736893518518
612,490,1736893518564
639,469,1736893518623
656,446,1736893518678
679,405,1736893518728
755,343,1736893518776
819,275,1736893518822
857,231,1736893518876
872,209,1736893518924
876,194,1736893518969
880,181,1736893519014
881,180,1736893519059
880,180,1736893519193
879,180,1736893519244
876,182,1736893519289
868,193,1736893519336
806,292,1736893519401
801,297,1736893519446
802,297,1736893519500
815,280,1736893519547
832,258,1736893519593
852,225,1736893519640
864,212,1736893519684
867,209,1736893519728
870,205,1736893519771
869,205,1736893519895
864,208,1736893519946
860,211,1736893519991
859,211,1736893520052
858,211,1736893520278
845,219,1736893520328
833,233,1736893520375
815,261,1736893520419
767,335,1736893520464
715,412,1736893520509
688,455,1736893520553
686,461,1736893520599
686,462,1736893520646
686,462,1736893520742
686,463,1736893520917
686,463,1736893521215
676,475,1736893521266
663,499,1736893521310
657,522,1736893521354
652,540,1736893521398
651,548,1736893521441
651,549,1736893521483
651,549,1736893521918
659,540,1736893521970
808,478,1736893522033
889,478,1736893522077
895,492,1736893522121
852,534,1736893522164
774,554,1736893522207
688,556,1736893522251
638,545,1736893522294
622,545,1736893522338
617,545,1736893522381
604,552,1736893522423
579,577,1736893522466
564,598,1736893522510
563,599,1736893522570
564,593,1736893522613
566,582,1736893522656
567,574,1736893522699
567,570,1736893522742
568,569,1736893522785
568,569,1736893522930
557,614,1736893522979
542,689,1736893523021
487,801,1736893523064
480,807,1736893523106
480,806,1736893523217
480,804,1736893523267
479,797,1736893523310
482,782,1736893523352
507,702,1736893523396
552,596,1736893523455
582,553,1736893523498
603,518,1736893523542
610,512,1736893523585
616,504,1736893523629
621,499,1736893523672
624,497,1736893523714
625,496,1736893523757
625,495,1736893523801
625,496,1736893524003
625,506,1736893524054
618,522,1736893524097
611,536,1736893524141
604,544,1736893524198
604,543,1736893524307
610,538,1736893524356
614,534,1736893524399
619,525,1736893524442
625,517,1736893524484
628,514,1736893524527
635,509,1736893524570
670,468,1736893524614
715,387,1736893524657
742,308,1736893524700
765,204,1736893524744
772,177,1736893524807
774,173,1736893524850
780,167,1736893524894
791,153,1736893524937
803,131,1736893524980
824,74,1736893525024
832,61,1736893525068
833,60,1736893525112
837,57,1736893525155
844,57,1736893525198
869,61,1736893525242
905,61,1736893525284
913,61,1736893525327
912,61,1736893525430
873,70,1736893525479
839,73,1736893525523
838,73,1736893525580
839,71,1736893525623
848,65,1736893525666
863,59,1736893525709
876,58,1736893525752
882,58,1736893525795
882,58,1736893525850
883,58,1736893526230
908,80,1736893526279
937,105,1736893526323
945,128,1736893526367
948,139,1736893526410
948,144,1736893526454
949,153,1736893526516
949,154,1736893526558
949,154,1736893526649
949,154,1736893527744
946,154,1736893527794
945,154,1736893527837
945,154,1736893527900
899,156,1736893527949
778,144,1736893527993
725,132,1736893528037
722,122,1736893528080
724,112,1736893528123
738,93,1736893528184
745,88,1736893528227
758,84,1736893528270
770,81,1736893528313
787,76,1736893528355
811,69,1736893528399
834,59,1736893528445
839,56,1736893528489
839,55,1736893528567
839,55,1736893528670
839,55,1736893530731
830,74,1736893530787
821,96,1736893530832
818,105,1736893530876
817,109,1736893530920
816,111,1736893530963
816,115,1736893539234
812,139,1736893539254
812,163,1736893539264
812,206,1736893539273
808,228,1736893539284
805,242,1736893539293
803,253,1736893539303
796,275,1736893539312
789,296,1736893539329
784,309,1736893539339
783,312,1736893539348
783,315,1736893539358
782,317,1736893539369
781,320,1736893539379
779,327,1736893539389
777,335,1736893539398
775,340,1736893539408
774,343,1736893539418
773,344,1736893539427
772,345,1736893539436
772,346,1736893539537
768,348,1736893539554
765,348,1736893539564
762,349,1736893539574
739,350,1736893539590
727,352,1736893539599
700,352,1736893539609
676,352,1736893539619
630,354,1736893539630
598,356,1736893539640
564,360,1736893539649
472,376,1736893539658
422,384,1736893539668
370,390,1736893539678
332,396,1736893539687
288,400,1736893539697
234,408,1736893539706
221,411,1736893539716
213,416,1736893539725
210,417,1736893539735
210,418,1736893539745
210,419,1736893539755
210,420,1736893539764
211,423,1736893539774
216,429,1736893539794
220,435,1736893539807
223,441,1736893539817
225,444,1736893539827
227,448,1736893539837
229,453,1736893539847
232,461,1736893539857
232,462,1736893539868
233,463,1736893539879
234,463,1736893539910
236,463,1736893539921
237,463,1736893539932
236,463,1736893540033
234,464,1736893540051
234,465,1736893540061
233,465,1736893540070
232,467,1736893540172
229,471,1736893540189
228,473,1736893540203
228,474,1736893540214
228,476,1736893540225
228,478,1736893540235
228,479,1736893540244
228,480,1736893540253
228,484,1736893540263
228,489,1736893540273
228,493,1736893540282
228,497,1736893540292
228,502,1736893540302
228,503,1736893540311
228,504,1736893540321
228,506,1736893540331
228,507,1736893540343
228,508,1736893540352
228,511,1736893540362
228,514,1736893540372
227,518,1736893540382
227,522,1736893540391
229,534,1736893540401
229,538,1736893540410
230,542,1736893540420
231,546,1736893540430
233,551,1736893540439
234,555,1736893540448
235,561,1736893540458
236,573,1736893540467
236,580,1736893540477
236,588,1736893540486
236,594,1736893540496
235,607,1736893540505
234,616,1736893540514
232,621,1736893540524
227,640,1736893540534
221,650,1736893540543
209,667,1736893540553
200,680,1736893540562
183,701,1736893540573
151,739,1736893540583
143,750,1736893540592
133,764,1736893540602
128,767,1736893540612
120,777,1736893540621
110,787,1736893540631
108,789,1736893540641
102,796,1736893540650
99,804,1736893540660
98,805,1736893540669
96,809,1736893540679
96,813,1736893540689
95,816,1736893540699
94,819,1736893540708
92,826,1736893540717
92,829,1736893540727
91,831,1736893540738
91,832,1736893540749
91,833,1736893540749
91,834,1736893540838
90,837,1736893540855
90,838,1736893540865
90,839,1736893540875
Mouse Clicks
601,160,1736893510015
599,181,1736893510431
328,251,1736893511656
328,339,1736893514771
328,427,1736893516482
328,427,1736893517741
839,55,1736893529307
